,Year,Team,Wins,Wins_Rank,Proj_Wins,Proj_Wins_Rank,Proj_Wins_Binned,Region,Seed
791,2017,Virginia Tech,0,33,0.5999375257055368,33,0,East,9
43,2016,Oklahoma,4,3,1.6760631099320096,9,2,West,2
59,2016,Oregon,3,5,1.7728087031349506,5,3,West,1
133,2016,Texas A&M,2,9,1.4254448020405228,9,2,West,3
155,2016,Duke,2,9,1.589467869330001,9,2,West,4
215,2016,Yale,1,17,0.5304471415102964,33,0,West,12
285,2016,VCU,1,17,0.7524231116267136,33,0,West,10
345,2016,Northern Iowa,1,17,0.3985347864378329,33,0,West,11
348,2016,Saint Joseph's,1,17,0.7654177925374618,33,0,West,8
575,2016,Oregon St.,0,33,0.5906598285660016,33,0,West,7
579,2016,Southern,0,33,0.1176740913985637,33,0,West,16
583,2016,Texas,0,33,1.0525583199857294,17,1,West,6
588,2016,Holy Cross,0,33,0.05763171800809284,33,0,West,16
590,2016,Green Bay,0,33,0.24721769286221223,33,0,West,14
596,2016,Cincinnati,0,33,1.0501241607673637,17,1,West,9
599,2016,Cal St. Bakersfield,0,33,0.29696318943262856,33,0,West,15
601,2016,Baylor,0,33,0.9809541790923898,17,1,West,5
674,2016,UNC Wilmington,0,33,0.3692801592867748,33,0,West,13
11,2016,Villanova,6,1,1.9282248673076887,5,3,South,2
78,2016,Kansas,3,5,3.1466037457214378,2,5,South,1
141,2016,Miami FL,2,9,1.3749038803717903,9,2,South,3
142,2016,Maryland,2,9,1.1468374797479086,17,1,South,5
212,2016,Wichita St.,1,17,1.0929349079663977,17,1,South,11
335,2016,Connecticut,1,17,0.9824755844903243,17,1,South,9
339,2016,Hawaii,1,17,0.45776041544150947,33,0,South,13
340,2016,Iowa,1,17,1.2502418372134185,9,2,South,7
572,2016,South Dakota St.,0,33,0.39899253987742267,33,0,South,12
582,2016,Temple,0,33,0.5490427511469237,33,0,South,10
586,2016,UNC Asheville,0,33,0.19528851586305535,33,0,South,15
595,2016,Colorado,0,33,0.6651481989520862,33,0,South,8
598,2016,California,0,33,1.1161404374213073,17,1,South,4
600,2016,Buffalo,0,33,0.2021231800527918,33,0,South,14
602,2016,Austin Peay,0,33,0.08523815866133169,33,0,South,16
603,2016,Arizona,0,33,1.2334947336398758,17,1,South,6
675,2016,Vanderbilt,0,33,0.824336365950284,17,1,South,11
41,2016,Syracuse,4,3,0.8143774555205128,33,0,Midwest,10
79,2016,Virginia,3,5,2.2687674495700545,5,3,Midwest,1
145,2016,Iowa St.,2,9,1.0934628031696407,17,1,Midwest,4
151,2016,Gonzaga,2,9,1.0659054315789167,17,1,Midwest,11
265,2016,Butler,1,17,0.9258803561288441,17,1,Midwest,9
342,2016,Little Rock,1,17,0.5388535368287051,33,0,Midwest,12
343,2016,Middle Tennessee,1,17,0.2744309265474883,33,0,Midwest,15
356,2016,Utah,1,17,0.8826027658784462,17,1,Midwest,3
574,2016,Michigan St.,0,33,2.309430596647824,3,4,Midwest,2
577,2016,Purdue,0,33,1.5483845744926799,9,2,Midwest,5
578,2016,Seton Hall,0,33,1.3347595636266096,9,2,Midwest,6
584,2016,Texas Tech,0,33,0.5438027864251925,33,0,Midwest,8
587,2016,Iona,0,33,0.29049467878500007,33,0,Midwest,13
589,2016,Hampton,0,33,0.11642637113832661,33,0,Midwest,16
591,2016,Fresno St.,0,33,0.43478375089882804,33,0,Midwest,14
594,2016,Dayton,0,33,0.6182768628917269,33,0,Midwest,7
20,2016,North Carolina,5,2,3.5253051701769627,1,6,East,1
54,2016,Notre Dame,3,5,0.9804304730521078,17,1,East,6
137,2016,Wisconsin,2,9,0.8136080733840522,33,0,East,7
148,2016,Indiana,2,9,1.219133292149049,17,1,East,5
214,2016,Xavier,1,17,1.5554190246969735,9,2,East,2
341,2016,Kentucky,1,17,2.3332683284812856,3,4,East,4
347,2016,Providence,1,17,0.7802979601274848,33,0,East,9
352,2016,Stephen F. Austin,1,17,0.4002597479034943,33,0,East,14
553,2016,USC,0,33,0.8790462184570609,17,1,East,8
573,2016,Michigan,0,33,0.7849400687805324,33,0,East,11
576,2016,Pittsburgh,0,33,0.820332612610124,33,0,East,10
581,2016,Stony Brook,0,33,0.4108870745283905,33,0,East,13
585,2016,Tulsa,0,33,0.42238745293760593,33,0,East,11
592,2016,Florida Gulf Coast,0,33,0.18294102371618862,33,0,East,16
593,2016,Fairleigh Dickinson,0,33,0.07163978529986677,33,0,East,16
597,2016,Chattanooga,0,33,0.324179199459033,33,0,East,12
694,2016,Weber St.,0,33,0.17893726204541585,33,0,East,15
779,2016,West Virginia,0,33,1.9328890662904827,5,3,East,3
15,2015,Wisconsin,5,2,3.9337666958014927,2,5,West,1
74,2015,Arizona,3,5,3.092017747709012,3,4,West,2
96,2015,North Carolina,2,9,1.5924234327087088,9,2,West,4
100,2015,Xavier,2,9,0.7380969681433719,33,0,West,6
292,2015,Arkansas,1,17,0.8584928562515396,17,1,West,5
363,2015,Georgia St.,1,17,0.37984657244513,33,0,West,14
382,2015,Oregon,1,17,0.5624108932319714,33,0,West,8
383,2015,Ohio St.,1,17,1.2371614554299868,9,2,West,10
541,2015,Oklahoma St.,0,33,0.5431057341776838,33,0,West,9
549,2015,Texas Southern,0,33,0.12771689569067451,33,0,West,15
551,2015,Mississippi,0,33,0.6815241905663997,33,0,West,11
554,2015,Coastal Carolina,0,33,0.22848069169525742,33,0,West,16
556,2015,Baylor,0,33,1.2001337147890203,9,2,West,3
560,2015,BYU,0,33,0.6357689121350174,33,0,West,11
566,2015,Harvard,0,33,0.34416856043098687,33,0,West,13
570,2015,VCU,0,33,0.8392607480408032,17,1,West,7
571,2015,Wofford,0,33,0.27204322627819605,33,0,West,12
6,2015,Duke,6,1,2.4413515311310428,5,3,South,1
69,2015,Gonzaga,3,5,1.6515323255787004,5,3,South,2
97,2015,UCLA,2,9,0.8373336525734572,17,1,South,11
106,2015,Utah,2,9,1.06145530290273,17,1,South,5
362,2015,Georgetown,1,17,1.0252435732768594,17,1,South,4
366,2015,Iowa,1,17,1.0321146707905324,17,1,South,7
375,2015,San Diego St.,1,17,0.9164964936625332,17,1,South,8
377,2015,UAB,1,17,0.18195385017674987,33,0,South,14
538,2015,North Dakota St.,0,33,0.21390986220246383,33,0,South,15
539,2015,North Florida,0,33,0.18020113394395548,33,0,South,16
543,2015,Robert Morris,0,33,0.12081313809363836,33,0,South,16
545,2015,SMU,0,33,0.8539383911408663,17,1,South,6
546,2015,St. John's,0,33,0.6641506929176884,33,0,South,9
547,2015,Stephen F. Austin,0,33,0.3891598550844672,33,0,South,12
561,2015,Davidson,0,33,0.549160396049982,33,0,South,10
563,2015,Eastern Washington,0,33,0.24777230056102284,33,0,South,13
568,2015,Iowa St.,0,33,1.4564921815955876,9,2,South,3
29,2015,Kentucky,4,3,5.7064800902967985,1,6,Midwest,1
60,2015,Notre Dame,3,5,1.6674371554126723,5,3,Midwest,3
103,2015,Wichita St.,2,9,0.9761906722273012,17,1,Midwest,7
104,2015,West Virginia,2,9,1.118181285230349,9,2,Midwest,5
295,2015,Butler,1,17,1.0690506822209502,17,1,Midwest,6
328,2015,Cincinnati,1,17,0.5940530195305183,33,0,Midwest,8
367,2015,Kansas,1,17,1.4075005146479103,9,2,Midwest,2
370,2015,Maryland,1,17,0.9613266056949593,17,1,Midwest,4
536,2015,Purdue,0,33,0.6476422406083805,33,0,Midwest,9
537,2015,New Mexico St.,0,33,0.2722589836063225,33,0,Midwest,15
540,2015,Northeastern,0,33,0.16388572241485763,33,0,Midwest,14
544,2015,Manhattan,0,33,0.12681737994568285,33,0,Midwest,16
548,2015,Texas,0,33,0.9684124732068472,17,1,Midwest,11
559,2015,Buffalo,0,33,0.4817570952421576,33,0,Midwest,12
565,2015,Hampton,0,33,0.08274513191219116,33,0,Midwest,16
567,2015,Indiana,0,33,0.6288636393704816,33,0,Midwest,10
569,2015,Valparaiso,0,33,0.5285336487875163,33,0,Midwest,13
27,2015,Michigan St.,4,3,0.9647804868146663,17,1,East,7
64,2015,Louisville,3,5,1.4755828221623792,9,2,East,4
109,2015,North Carolina St.,2,9,0.8528740710403293,17,1,East,8
117,2015,Oklahoma,2,9,1.2254650107340233,9,2,East,3
357,2015,Dayton,1,17,0.37443718418496313,33,0,East,11
359,2015,Virginia,1,17,2.450044375326603,5,3,East,2
371,2015,Villanova,1,17,2.5581115383386064,3,4,East,1
379,2015,Northern Iowa,1,17,0.8549776405785028,17,1,East,5
542,2015,Providence,0,33,0.9853529233514862,17,1,East,6
550,2015,UC Irvine,0,33,0.27526852859214657,33,0,East,13
552,2015,LSU,0,33,0.5382066094644388,33,0,East,9
555,2015,Albany,0,33,0.27785091360640707,33,0,East,14
557,2015,Belmont,0,33,0.18683994609309632,33,0,East,15
558,2015,Boise St.,0,33,0.5589546097838428,33,0,East,11
562,2015,Lafayette,0,33,0.11465251179609943,33,0,East,16
564,2015,Georgia,0,33,0.6100461781703953,33,0,East,10
580,2015,Wyoming,0,33,0.2059196623985883,33,0,East,12
39,2014,Wisconsin,4,3,1.5242307543700098,9,2,West,2
81,2014,Arizona,3,5,2.6742794041582134,2,5,West,1
166,2014,San Diego St.,2,9,1.5056867910790985,9,2,West,4
182,2014,Baylor,2,9,0.9795438800098482,17,1,West,6
275,2014,North Dakota St.,1,17,0.4373489430737551,33,0,West,12
278,2014,Oregon,1,17,0.754576965914844,33,0,West,7
319,2014,Creighton,1,17,0.9899630088134048,17,1,West,3
323,2014,Gonzaga,1,17,0.8791565095591203,17,1,West,8
641,2014,Weber St.,0,33,0.09992822203084976,33,0,West,16
644,2014,Nebraska,0,33,0.629357325410759,33,0,West,11
646,2014,New Mexico St.,0,33,0.36947549192046986,33,0,West,13
649,2014,Oklahoma,0,33,1.0321482744346664,17,1,West,5
651,2014,Oklahoma St.,0,33,0.8754504679018055,17,1,West,9
660,2014,Louisiana Lafayette,0,33,0.2483581607213954,33,0,West,14
671,2014,BYU,0,33,0.7846601719749081,33,0,West,10
673,2014,American,0,33,0.1379632402258128,33,0,West,15
30,2014,Florida,4,3,3.134862648189372,1,6,South,1
56,2014,Dayton,3,5,0.5723148143676602,33,0,South,11
163,2014,UCLA,2,9,1.9672319511866334,5,3,South,4
165,2014,Stanford,2,9,0.7839547366689927,33,0,South,10
279,2014,Pittsburgh,1,17,1.261262752924962,17,1,South,9
281,2014,Stephen F. Austin,1,17,0.42963274664438295,33,0,South,12
282,2014,Syracuse,1,17,2.199764987920606,5,3,South,3
326,2014,Kansas,1,17,1.5266363339477569,9,2,South,2
606,2014,Western Michigan,0,33,0.21246873499259558,33,0,South,14
642,2014,Ohio St.,0,33,1.2446334821877767,17,1,South,6
643,2014,Mount St. Mary's,0,33,0.0996622654944918,33,0,South,16
645,2014,New Mexico,0,33,0.8470382110883704,17,1,South,7
650,2014,Albany,0,33,0.1433565913051739,33,0,South,16
655,2014,Tulsa,0,33,0.374820679575767,33,0,South,13
656,2014,VCU,0,33,1.1824334480028116,17,1,South,5
664,2014,Eastern Kentucky,0,33,0.16079883262563807,33,0,South,15
667,2014,Colorado,0,33,0.8460519910585093,33,0,South,8
22,2014,Kentucky,5,2,1.528274090056709,9,2,Midwest,8
52,2014,Michigan,3,5,1.3451524620641513,17,1,Midwest,2
179,2014,Louisville,2,9,2.170783791223118,5,3,Midwest,4
186,2014,Tennessee,2,9,1.1232617009787371,17,1,Midwest,11
280,2014,Saint Louis,1,17,0.6001563518617624,33,0,Midwest,5
283,2014,Texas,1,17,1.1674568241292202,17,1,Midwest,7
288,2014,Wichita St.,1,17,1.3851428531897159,9,2,Midwest,1
296,2014,Mercer,1,17,0.2971967422677236,33,0,Midwest,14
604,2014,Xavier,0,33,0.6876965697687637,33,0,Midwest,12
605,2014,Wofford,0,33,0.14411785817903924,33,0,Midwest,15
648,2014,North Carolina St.,0,33,0.5640743227652752,33,0,Midwest,12
654,2014,Texas Southern,0,33,0.08911629549469581,33,0,Midwest,16
658,2014,Massachusetts,0,33,0.6160171649502063,33,0,Midwest,6
659,2014,Manhattan,0,33,0.3226060491690969,33,0,Midwest,13
661,2014,Kansas St.,0,33,0.5537170051977932,33,0,Midwest,9
662,2014,Iowa,0,33,1.3757700362646652,9,2,Midwest,11
665,2014,Duke,0,33,1.5480660976866045,9,2,Midwest,3
670,2014,Cal Poly,0,33,0.13742580192436119,33,0,Midwest,16
672,2014,Arizona St.,0,33,0.540847181530105,33,0,Midwest,10
0,2014,Connecticut,6,1,0.9864778615631278,17,1,East,7
53,2014,Michigan St.,3,5,2.2051286591038353,3,4,East,4
162,2014,Virginia,2,9,2.656084114410364,3,4,East,1
183,2014,Iowa St.,2,9,1.5114548886355368,9,2,East,3
268,2014,Memphis,1,17,0.7217821312344499,33,0,East,8
273,2014,North Carolina,1,17,1.2585878868911702,17,1,East,6
286,2014,Villanova,1,17,1.6511494913490112,5,3,East,2
324,2014,Harvard,1,17,0.6027844628395127,33,0,East,12
647,2014,North Carolina Central,0,33,0.3504179863173527,33,0,East,14
652,2014,Providence,0,33,0.8599125363417606,17,1,East,11
653,2014,Saint Joseph's,0,33,0.5252535668239523,33,0,East,10
657,2014,Milwaukee,0,33,0.13875192868510675,33,0,East,15
663,2014,George Washington,0,33,0.707287698761099,33,0,East,9
666,2014,Delaware,0,33,0.3045369493853115,33,0,East,13
668,2014,Coastal Carolina,0,33,0.14791652261468147,33,0,East,16
669,2014,Cincinnati,0,33,1.2665412965615226,17,1,East,5
35,2013,Wichita St.,4,3,0.9345468666531719,17,1,West,9
92,2013,Ohio St.,3,5,2.5120463647506117,3,4,West,2
114,2013,La Salle,2,9,0.3944911969545283,33,0,West,13
138,2013,Arizona,2,9,1.4776964801436079,9,2,West,6
289,2013,Iowa St.,1,17,0.7340476863398171,33,0,West,10
300,2013,Mississippi,1,17,1.2756064330027086,9,2,West,12
365,2013,Harvard,1,17,0.1678332214572772,33,0,West,14
368,2013,Gonzaga,1,17,2.0222770848753315,5,3,West,1
611,2013,Notre Dame,0,33,0.8671097025175138,17,1,West,7
614,2013,Pittsburgh,0,33,1.5796282137951825,9,2,West,8
618,2013,Southern,0,33,0.18578733505201653,33,0,West,16
623,2013,New Mexico,0,33,1.3025935739207193,9,2,West,3
629,2013,Kansas St.,0,33,1.0173754568563977,17,1,West,4
631,2013,Iona,0,33,0.28149058750188677,33,0,West,15
637,2013,Boise St.,0,33,0.5147788328274128,33,0,West,13
638,2013,Belmont,0,33,0.4188388750151826,33,0,West,11
640,2013,Wisconsin,0,33,1.472589159436752,9,2,West,5
14,2013,Michigan,5,2,1.655661029139804,9,2,South,4
86,2013,Florida,3,5,1.8542211162274314,5,3,South,3
126,2013,Florida Gulf Coast,2,9,0.2548010105542139,33,0,South,15
152,2013,Kansas,2,9,2.2521862766755345,3,4,South,1
301,2013,North Carolina,1,17,1.2204574411145723,17,1,South,8
308,2013,San Diego St.,1,17,0.7796890949496654,33,0,South,7
311,2013,Minnesota,1,17,1.0474250659902697,17,1,South,11
315,2013,VCU,1,17,1.0483704096915998,17,1,South,5
415,2013,Akron,0,33,0.6076101307362187,33,0,South,12
610,2013,Northwestern St.,0,33,0.21013648818608716,33,0,South,14
612,2013,Oklahoma,0,33,0.6880077658700154,33,0,South,10
615,2013,Western Kentucky,0,33,0.1426507625822944,33,0,South,16
617,2013,South Dakota St.,0,33,0.2904686633861706,33,0,South,13
619,2013,UCLA,0,33,0.8649756554196539,33,0,South,6
632,2013,Georgetown,0,33,1.2089184994684015,17,1,South,2
639,2013,Villanova,0,33,0.7897629938687879,33,0,South,9
4,2013,Louisville,6,1,3.4410823326887487,1,6,Midwest,1
87,2013,Duke,3,5,1.5191618016594735,9,2,Midwest,2
111,2013,Michigan St.,2,9,1.5040125493215937,9,2,Midwest,3
190,2013,Oregon,2,9,1.035764906200586,17,1,Midwest,12
306,2013,Saint Louis,1,17,0.7993792552229412,33,0,Midwest,4
314,2013,Memphis,1,17,0.8304882701822717,33,0,Midwest,6
344,2013,Colorado St.,1,17,1.2520672388137897,17,1,Midwest,8
381,2013,Creighton,1,17,0.7117505218265056,33,0,Midwest,7
608,2013,North Carolina A&T,0,33,0.09559134530601544,33,0,Midwest,16
613,2013,Oklahoma St.,0,33,1.1149297143247312,17,1,Midwest,5
616,2013,Saint Mary's,0,33,0.8383443965398675,33,0,Midwest,11
621,2013,Valparaiso,0,33,0.31079028607830583,33,0,Midwest,14
622,2013,New Mexico St.,0,33,0.38007153185739806,33,0,Midwest,13
625,2013,Missouri,0,33,1.0981708144016382,17,1,Midwest,9
626,2013,Middle Tennessee,0,33,0.5474977091858572,33,0,Midwest,11
628,2013,Liberty,0,33,0.048884402246913976,33,0,Midwest,16
635,2013,Cincinnati,0,33,1.0542534401140498,17,1,Midwest,10
699,2013,Albany,0,33,0.1890083057943553,33,0,Midwest,15
32,2013,Syracuse,4,3,1.736440766474251,5,3,East,4
85,2013,Marquette,3,5,0.890858694819718,17,1,East,3
110,2013,Miami FL,2,9,1.9338322553522334,5,3,East,2
147,2013,Indiana,2,9,2.5667343313919964,2,5,East,1
293,2013,Illinois,1,17,1.0824342293513398,17,1,East,7
312,2013,Temple,1,17,0.5521262897712007,33,0,East,9
353,2013,California,1,17,0.5718707788401444,33,0,East,12
354,2013,Butler,1,17,0.8890184011852623,17,1,East,6
607,2013,Pacific,0,33,0.21632675333336565,33,0,East,15
609,2013,North Carolina St.,0,33,0.7421790438569894,33,0,East,8
620,2013,UNLV,0,33,0.8788089753577302,17,1,East,5
624,2013,Montana,0,33,0.15981647254736764,33,0,East,13
627,2013,LIU Brooklyn,0,33,0.09783839402702192,33,0,East,16
630,2013,James Madison,0,33,0.13908116682280258,33,0,East,16
633,2013,Davidson,0,33,0.37290053412230717,33,0,East,14
634,2013,Colorado,0,33,0.7998894618631145,33,0,East,10
636,2013,Bucknell,0,33,0.5245151541572702,33,0,East,11
